"exchange","bid","ask","time","created_at"
"bitflyer","467607.0","467800.0","1503070270","2017-08-18 15:31:10 UTC"
"coincheck","468034.0","468253.0","1503070272","2017-08-18 15:31:12 UTC"
"bitflyer","467616.0","467800.0","1503070273","2017-08-18 15:31:13 UTC"
"coincheck","468034.0","468253.0","1503070274","2017-08-18 15:31:14 UTC"
"bitflyer","467616.0","467800.0","1503070275","2017-08-18 15:31:15 UTC"
"coincheck","468040.0","468249.0","1503070276","2017-08-18 15:31:16 UTC"
"bitflyer","467616.0","467799.0","1503070277","2017-08-18 15:31:17 UTC"
"coincheck","468049.0","468239.0","1503070278","2017-08-18 15:31:18 UTC"
"bitflyer","467616.0","467800.0","1503070279","2017-08-18 15:31:19 UTC"
"coincheck","468061.0","468227.0","1503070280","2017-08-18 15:31:20 UTC"
"bitflyer","467616.0","467800.0","1503070281","2017-08-18 15:31:21 UTC"
"coincheck","468224.0","468300.0","1503070282","2017-08-18 15:31:22 UTC"
"bitflyer","467606.0","467800.0","1503070283","2017-08-18 15:31:23 UTC"
"coincheck","468075.0","468223.0","1503070284","2017-08-18 15:31:24 UTC"
"bitflyer","467621.0","467800.0","1503070284","2017-08-18 15:31:24 UTC"
"coincheck","468080.0","468223.0","1503070285","2017-08-18 15:31:25 UTC"
"bitflyer","467621.0","467800.0","1503070286","2017-08-18 15:31:26 UTC"
"coincheck","468086.0","468223.0","1503070287","2017-08-18 15:31:27 UTC"
"bitflyer","467621.0","467800.0","1503070288","2017-08-18 15:31:28 UTC"
"coincheck","468086.0","468218.0","1503070289","2017-08-18 15:31:29 UTC"
"bitflyer","467724.0","467800.0","1503070290","2017-08-18 15:31:30 UTC"
"coincheck","468086.0","468223.0","1503070291","2017-08-18 15:31:31 UTC"
"bitflyer","467724.0","467799.0","1503070291","2017-08-18 15:31:31 UTC"
"coincheck","468092.0","468222.0","1503070293","2017-08-18 15:31:33 UTC"
"bitflyer","467724.0","467800.0","1503070293","2017-08-18 15:31:33 UTC"
"coincheck","468097.0","468217.0","1503070294","2017-08-18 15:31:34 UTC"
"bitflyer","467724.0","467800.0","1503070295","2017-08-18 15:31:35 UTC"
"coincheck","468102.0","468199.0","1503070296","2017-08-18 15:31:36 UTC"
"bitflyer","467724.0","467800.0","1503070297","2017-08-18 15:31:37 UTC"
"coincheck","468103.0","468195.0","1503070298","2017-08-18 15:31:38 UTC"
"bitflyer","467724.0","467800.0","1503070299","2017-08-18 15:31:39 UTC"
"coincheck","468103.0","468197.0","1503070300","2017-08-18 15:31:40 UTC"
"bitflyer","467800.0","468001.0","1503070301","2017-08-18 15:31:41 UTC"
"coincheck","468103.0","468197.0","1503070302","2017-08-18 15:31:42 UTC"
"bitflyer","467801.0","468001.0","1503070303","2017-08-18 15:31:43 UTC"
"coincheck","468108.0","468192.0","1503070304","2017-08-18 15:31:44 UTC"
"bitflyer","467801.0","468001.0","1503070304","2017-08-18 15:31:44 UTC"
"coincheck","468114.0","468194.0","1503070306","2017-08-18 15:31:46 UTC"
"bitflyer","467801.0","468001.0","1503070306","2017-08-18 15:31:46 UTC"
"coincheck","468059.0","468199.0","1503070307","2017-08-18 15:31:47 UTC"
"bitflyer","467801.0","468001.0","1503070308","2017-08-18 15:31:48 UTC"
"coincheck","468059.0","468200.0","1503070309","2017-08-18 15:31:49 UTC"
"bitflyer","467801.0","468001.0","1503070309","2017-08-18 15:31:49 UTC"
"coincheck","468194.0","468200.0","1503070311","2017-08-18 15:31:51 UTC"
"bitflyer","467801.0","468001.0","1503070311","2017-08-18 15:31:51 UTC"
"coincheck","468085.0","468097.0","1503070312","2017-08-18 15:31:52 UTC"
"bitflyer","467801.0","468001.0","1503070313","2017-08-18 15:31:53 UTC"
"coincheck","468201.0","468300.0","1503070314","2017-08-18 15:31:54 UTC"
"bitflyer","467801.0","468001.0","1503070314","2017-08-18 15:31:54 UTC"
"coincheck","468207.0","468300.0","1503070316","2017-08-18 15:31:56 UTC"
"bitflyer","467801.0","468001.0","1503070316","2017-08-18 15:31:56 UTC"
"coincheck","468206.0","468300.0","1503070317","2017-08-18 15:31:57 UTC"
"bitflyer","467801.0","468001.0","1503070319","2017-08-18 15:31:59 UTC"
"coincheck","468211.0","468300.0","1503070320","2017-08-18 15:32:00 UTC"
"bitflyer","467801.0","468001.0","1503070320","2017-08-18 15:32:00 UTC"
"coincheck","468212.0","468295.0","1503070322","2017-08-18 15:32:02 UTC"
"bitflyer","467801.0","468001.0","1503070322","2017-08-18 15:32:02 UTC"
"coincheck","468212.0","468290.0","1503070323","2017-08-18 15:32:03 UTC"
"bitflyer","467801.0","468001.0","1503070324","2017-08-18 15:32:04 UTC"
"coincheck","468220.0","468486.0","1503070325","2017-08-18 15:32:05 UTC"
"bitflyer","467806.0","468001.0","1503070326","2017-08-18 15:32:06 UTC"
"coincheck","468219.0","468485.0","1503070327","2017-08-18 15:32:07 UTC"
"bitflyer","467806.0","468001.0","1503070327","2017-08-18 15:32:07 UTC"
"coincheck","468227.0","468475.0","1503070329","2017-08-18 15:32:09 UTC"
"bitflyer","467806.0","468001.0","1503070329","2017-08-18 15:32:09 UTC"
"coincheck","468210.0","468296.0","1503070330","2017-08-18 15:32:10 UTC"
"bitflyer","467806.0","468001.0","1503070331","2017-08-18 15:32:11 UTC"
"coincheck","468210.0","468231.0","1503070332","2017-08-18 15:32:12 UTC"
"bitflyer","467807.0","468001.0","1503070333","2017-08-18 15:32:13 UTC"
"coincheck","468210.0","468231.0","1503070334","2017-08-18 15:32:14 UTC"
"bitflyer","467808.0","468001.0","1503070335","2017-08-18 15:32:15 UTC"
"coincheck","468120.0","468222.0","1503070336","2017-08-18 15:32:16 UTC"
"bitflyer","467808.0","468001.0","1503070337","2017-08-18 15:32:17 UTC"
"coincheck","468126.0","468218.0","1503070338","2017-08-18 15:32:18 UTC"
"bitflyer","467806.0","468001.0","1503070338","2017-08-18 15:32:18 UTC"
"coincheck","468136.0","468290.0","1503070339","2017-08-18 15:32:19 UTC"
"bitflyer","467806.0","468001.0","1503070340","2017-08-18 15:32:20 UTC"
"coincheck","468183.0","468286.0","1503070341","2017-08-18 15:32:21 UTC"
"bitflyer","467808.0","468001.0","1503070341","2017-08-18 15:32:21 UTC"
"coincheck","468189.0","468299.0","1503070343","2017-08-18 15:32:23 UTC"
"bitflyer","467808.0","468001.0","1503070343","2017-08-18 15:32:23 UTC"
"coincheck","468189.0","468273.0","1503070345","2017-08-18 15:32:25 UTC"
"bitflyer","468000.0","468001.0","1503070347","2017-08-18 15:32:27 UTC"
"coincheck","468186.0","468192.0","1503070348","2017-08-18 15:32:28 UTC"
"bitflyer","468000.0","468001.0","1503070348","2017-08-18 15:32:28 UTC"
"coincheck","468120.0","468188.0","1503070349","2017-08-18 15:32:29 UTC"
"bitflyer","468050.0","468101.0","1503070350","2017-08-18 15:32:30 UTC"
"coincheck","468134.0","468185.0","1503070351","2017-08-18 15:32:31 UTC"
"bitflyer","468050.0","468101.0","1503070352","2017-08-18 15:32:32 UTC"
"coincheck","468139.0","468185.0","1503070353","2017-08-18 15:32:33 UTC"
"bitflyer","468050.0","468101.0","1503070353","2017-08-18 15:32:33 UTC"
"coincheck","468120.0","468134.0","1503070355","2017-08-18 15:32:35 UTC"
"bitflyer","468101.0","468282.0","1503070355","2017-08-18 15:32:35 UTC"
"coincheck","468000.0","468132.0","1503070356","2017-08-18 15:32:36 UTC"
"bitflyer","468101.0","468282.0","1503070357","2017-08-18 15:32:37 UTC"
"coincheck","468005.0","468128.0","1503070358","2017-08-18 15:32:38 UTC"
"bitflyer","468101.0","468282.0","1503070358","2017-08-18 15:32:38 UTC"
"coincheck","468005.0","468122.0","1503070359","2017-08-18 15:32:39 UTC"
"bitflyer","468102.0","468282.0","1503070360","2017-08-18 15:32:40 UTC"
"coincheck","468005.0","468121.0","1503070361","2017-08-18 15:32:41 UTC"
"bitflyer","468102.0","468130.0","1503070361","2017-08-18 15:32:41 UTC"
"coincheck","468010.0","468117.0","1503070363","2017-08-18 15:32:43 UTC"
"bitflyer","468106.0","468130.0","1503070363","2017-08-18 15:32:43 UTC"
"coincheck","468010.0","468112.0","1503070365","2017-08-18 15:32:45 UTC"
"bitflyer","468102.0","468130.0","1503070365","2017-08-18 15:32:45 UTC"
"coincheck","468015.0","468115.0","1503070366","2017-08-18 15:32:46 UTC"
"bitflyer","468102.0","468130.0","1503070367","2017-08-18 15:32:47 UTC"
"coincheck","468015.0","468099.0","1503070368","2017-08-18 15:32:48 UTC"
"bitflyer","468102.0","468130.0","1503070369","2017-08-18 15:32:49 UTC"
"coincheck","468015.0","468094.0","1503070370","2017-08-18 15:32:50 UTC"
"bitflyer","468102.0","468130.0","1503070370","2017-08-18 15:32:50 UTC"
"coincheck","468020.0","468089.0","1503070372","2017-08-18 15:32:52 UTC"
"bitflyer","468103.0","468130.0","1503070372","2017-08-18 15:32:52 UTC"
"coincheck","468020.0","468084.0","1503070373","2017-08-18 15:32:53 UTC"
"bitflyer","468101.0","468130.0","1503070374","2017-08-18 15:32:54 UTC"
"coincheck","468025.0","468075.0","1503070375","2017-08-18 15:32:55 UTC"
"bitflyer","468102.0","468130.0","1503070376","2017-08-18 15:32:56 UTC"
"coincheck","468020.0","468071.0","1503070377","2017-08-18 15:32:57 UTC"
"bitflyer","468102.0","468130.0","1503070378","2017-08-18 15:32:58 UTC"
"coincheck","468020.0","468069.0","1503070379","2017-08-18 15:32:59 UTC"
"bitflyer","468102.0","468130.0","1503070380","2017-08-18 15:33:00 UTC"
"coincheck","467990.0","468000.0","1503070381","2017-08-18 15:33:01 UTC"
"bitflyer","468103.0","468130.0","1503070381","2017-08-18 15:33:01 UTC"
"coincheck","468000.0","468019.0","1503070383","2017-08-18 15:33:03 UTC"
"bitflyer","468103.0","468130.0","1503070383","2017-08-18 15:33:03 UTC"
"coincheck","468000.0","468010.0","1503070384","2017-08-18 15:33:04 UTC"
"bitflyer","468103.0","468130.0","1503070386","2017-08-18 15:33:06 UTC"
"coincheck","467858.0","467895.0","1503070387","2017-08-18 15:33:07 UTC"
"bitflyer","468103.0","468130.0","1503070388","2017-08-18 15:33:08 UTC"
"coincheck","467859.0","467896.0","1503070389","2017-08-18 15:33:09 UTC"
"bitflyer","468050.0","468130.0","1503070389","2017-08-18 15:33:09 UTC"
"coincheck","467859.0","467895.0","1503070391","2017-08-18 15:33:11 UTC"
"bitflyer","468100.0","468103.0","1503070391","2017-08-18 15:33:11 UTC"
"coincheck","467859.0","467895.0","1503070393","2017-08-18 15:33:13 UTC"
"bitflyer","468100.0","468103.0","1503070394","2017-08-18 15:33:14 UTC"
"coincheck","467864.0","467894.0","1503070395","2017-08-18 15:33:15 UTC"
"bitflyer","468100.0","468103.0","1503070395","2017-08-18 15:33:15 UTC"
"coincheck","467865.0","467892.0","1503070396","2017-08-18 15:33:16 UTC"
"bitflyer","468050.0","468103.0","1503070397","2017-08-18 15:33:17 UTC"
"coincheck","467865.0","467891.0","1503070398","2017-08-18 15:33:18 UTC"
"bitflyer","468001.0","468130.0","1503070399","2017-08-18 15:33:19 UTC"
"coincheck","467893.0","467947.0","1503070400","2017-08-18 15:33:20 UTC"
"bitflyer","468001.0","468280.0","1503070401","2017-08-18 15:33:21 UTC"
"coincheck","467947.0","467974.0","1503070402","2017-08-18 15:33:22 UTC"
"bitflyer","468001.0","468100.0","1503070402","2017-08-18 15:33:22 UTC"
"coincheck","467902.0","467973.0","1503070404","2017-08-18 15:33:24 UTC"
"bitflyer","468200.0","468280.0","1503070404","2017-08-18 15:33:24 UTC"
"coincheck","467902.0","468000.0","1503070405","2017-08-18 15:33:25 UTC"
"bitflyer","468200.0","468280.0","1503070406","2017-08-18 15:33:26 UTC"
"coincheck","467909.0","467999.0","1503070407","2017-08-18 15:33:27 UTC"
