"exchange","bid","ask","time","created_at"
"coincheck","485835.0","486296.0","1502783670","2017-08-15 07:54:30 UTC"
"zaif","485700.0","485720.0","1502783671","2017-08-15 07:54:31 UTC"
"coincheck","485874.0","486287.0","1502783672","2017-08-15 07:54:32 UTC"
"zaif","485705.0","485720.0","1502783673","2017-08-15 07:54:33 UTC"
"coincheck","485884.0","486280.0","1502783674","2017-08-15 07:54:34 UTC"
"zaif","485700.0","485715.0","1502783674","2017-08-15 07:54:34 UTC"
"coincheck","485892.0","486276.0","1502783676","2017-08-15 07:54:36 UTC"
"zaif","485700.0","485715.0","1502783676","2017-08-15 07:54:36 UTC"
"coincheck","485894.0","486263.0","1502783678","2017-08-15 07:54:38 UTC"
"zaif","485705.0","485715.0","1502783678","2017-08-15 07:54:38 UTC"
"coincheck","485904.0","486085.0","1502783679","2017-08-15 07:54:39 UTC"
"zaif","485705.0","485715.0","1502783679","2017-08-15 07:54:39 UTC"
"coincheck","485900.0","486076.0","1502783681","2017-08-15 07:54:41 UTC"
"zaif","485705.0","485710.0","1502783682","2017-08-15 07:54:42 UTC"
"coincheck","485908.0","486064.0","1502783683","2017-08-15 07:54:43 UTC"
"zaif","485705.0","485710.0","1502783683","2017-08-15 07:54:43 UTC"
"coincheck","485914.0","486056.0","1502783685","2017-08-15 07:54:45 UTC"
"zaif","485705.0","485745.0","1502783685","2017-08-15 07:54:45 UTC"
"coincheck","485895.0","486043.0","1502783687","2017-08-15 07:54:47 UTC"
"zaif","485710.0","485745.0","1502783687","2017-08-15 07:54:47 UTC"
"coincheck","485906.0","486035.0","1502783688","2017-08-15 07:54:48 UTC"
"zaif","485705.0","485745.0","1502783689","2017-08-15 07:54:49 UTC"
"coincheck","485905.0","486027.0","1502783690","2017-08-15 07:54:50 UTC"
"zaif","485675.0","485695.0","1502783690","2017-08-15 07:54:50 UTC"
"coincheck","485906.0","486085.0","1502783692","2017-08-15 07:54:52 UTC"
"zaif","485650.0","485665.0","1502783692","2017-08-15 07:54:52 UTC"
"coincheck","485916.0","486081.0","1502783694","2017-08-15 07:54:54 UTC"
"zaif","485490.0","485530.0","1502783694","2017-08-15 07:54:54 UTC"
"coincheck","485921.0","486072.0","1502783696","2017-08-15 07:54:56 UTC"
"zaif","485400.0","485485.0","1502783696","2017-08-15 07:54:56 UTC"
"coincheck","485910.0","486060.0","1502783698","2017-08-15 07:54:58 UTC"
"zaif","485310.0","485385.0","1502783698","2017-08-15 07:54:58 UTC"
"coincheck","485905.0","486063.0","1502783699","2017-08-15 07:54:59 UTC"
"zaif","485315.0","485485.0","1502783700","2017-08-15 07:55:00 UTC"
"coincheck","486058.0","486063.0","1502783701","2017-08-15 07:55:01 UTC"
"zaif","485315.0","485370.0","1502783702","2017-08-15 07:55:02 UTC"
"coincheck","485916.0","486053.0","1502783704","2017-08-15 07:55:04 UTC"
"zaif","485315.0","485485.0","1502783704","2017-08-15 07:55:04 UTC"
"coincheck","485921.0","486054.0","1502783706","2017-08-15 07:55:06 UTC"
"zaif","485315.0","485320.0","1502783706","2017-08-15 07:55:06 UTC"
"coincheck","485916.0","486051.0","1502783708","2017-08-15 07:55:08 UTC"
"zaif","485330.0","485485.0","1502783708","2017-08-15 07:55:08 UTC"
"coincheck","485925.0","486069.0","1502783710","2017-08-15 07:55:10 UTC"
"zaif","485335.0","485410.0","1502783710","2017-08-15 07:55:10 UTC"
"coincheck","485917.0","486089.0","1502783713","2017-08-15 07:55:13 UTC"
"zaif","485450.0","485530.0","1502783713","2017-08-15 07:55:13 UTC"
"coincheck","485910.0","486089.0","1502783714","2017-08-15 07:55:14 UTC"
"zaif","485545.0","485560.0","1502783715","2017-08-15 07:55:15 UTC"
